,Week,Total Investment,Total Investment_SMA_3,Total Investment_SMA_5,Total Investment_EMA_8,Total_Investment_Ad_Stock,TV,TV_SMA_3,TV_SMA_5,TV_EMA_8,TV_Ad_Stock,Digital,Digital_SMA_3,Digital_SMA_5,Digital_EMA_8,Digital_Ad_Stock,Sponsorship,Sponsorship_SMA_3,Sponsorship_SMA_5,Sponsorship_EMA_8,Sponsorship_Ad_Stock,Content Marketing,Content Marketing_SMA_3,Content Marketing_SMA_5,Content Marketing_EMA_8,Content_Marketing_Ad_Stock,Online marketing,Online marketing_SMA_3,Online marketing_SMA_5,Online marketing_EMA_8,Online_marketing_Ad_Stock,Affiliates,Affiliates_SMA_3,Affiliates_SMA_5,Affiliates_EMA_8,Affiliates_Ad_Stock,SEM,SEM_SMA_3,SEM_SMA_5,SEM_EMA_8,SEM_Ad_Stock,Radio,Radio_SMA_3,Radio_SMA_5,Radio_EMA_8,Radio_Ad_Stock,Other,Other_SMA_3,Other_SMA_5,Other_EMA_8,Other_Ad_Stock
10,38,24.064,16.380333333333336,10.2334,10.679505010590702,39.603004731904,0.97,0.647,0.3886,0.3929404811112093,1.5561193759743999,0.339,0.3113333333333334,0.2892000000000002,0.35370288182925713,0.7934427045888,15.697,10.535666666666666,6.406599999999999,6.6126870928914645,25.4049281004544,0.153,0.102,0.0612,0.06044444444444444,0.2448,4.095,2.738666666666667,1.6536000000000002,1.6861939820224632,6.5938038884351995,1.26,0.8450000000000001,0.513,0.5278581025718544,2.0367954680832,1.551,1.2016666666666664,0.9221999999999999,1.0466780257200077,2.9756061244415997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,39,24.064,24.064000000000004,14.843599999999999,13.653837230459436,47.8258028391424,0.97,0.9700000000000001,0.5824,0.5211759297531627,1.9036716255846398,0.339,0.339,0.3058000000000002,0.3504355747560889,0.81506562275328,15.697,15.696999999999997,9.503399999999997,8.631423294471139,30.939956860272638,0.153,0.153,0.09179999999999999,0.08101234567901233,0.29988,4.095,4.095,2.4674,2.2214842082396933,8.051282333061119,1.26,1.26,0.762,0.6905563020003311,2.4820772808499196,1.551,1.551,1.1318,1.158749575560006,3.33636367466496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,40,24.064,24.064000000000004,19.453799999999994,15.967206734801783,52.759481703485434,0.97,0.9700000000000001,0.7762000000000001,0.6209146120302377,2.112202975350784,0.339,0.339,0.32240000000000013,0.3478943359214025,0.828039373651968,15.697,15.696999999999997,12.600199999999997,10.20155145125533,34.26097411616358,0.153,0.153,0.1224,0.09700960219478735,0.332928,4.095,4.095,3.2811999999999997,2.637821050853095,8.925769399836671,1.26,1.26,1.0110000000000001,0.8170993460002576,2.7492463685099517,1.551,1.551,1.3414,1.2459163365466712,3.5528182047989754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,41,42.539,30.222333333333335,27.758999999999997,21.87204968262361,74.19468902209127,1.536,1.1586666666666667,1.0832000000000002,0.8242669204679627,2.8033217852104704,3.156,1.278,0.9024000000000001,0.9719178168277576,3.652823624191181,21.168,17.52066666666666,16.791199999999996,12.638540017643034,41.724584469698144,0.861,0.38899999999999996,0.2946,0.2667852461515013,1.0607568,6.093,4.761,4.4946,3.4056385951079626,11.448461639902003,1.743,1.4210000000000003,1.3566000000000003,1.0228550468890893,3.392547821105971,7.982,3.6946666666666665,2.8372,2.7428238173140773,10.113690922879385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,42,42.539,36.38066666666668,31.454,26.464705308707252,87.05581341325475,1.536,1.3473333333333335,1.1964000000000001,0.9824298270306377,3.2179930711262825,3.156,2.217,1.4658000000000002,1.457269413088256,5.347694174514709,21.168,19.344333333333328,17.885399999999997,14.533975569277917,46.202750681818884,0.861,0.6249999999999999,0.4361999999999999,0.39883296922894546,1.49745408,6.093,5.4270000000000005,4.8942,4.0028300184173045,12.962076983941202,1.743,1.5820000000000005,1.4532000000000003,1.182887258691514,3.778528692663583,7.982,5.838333333333334,4.1234,3.907085191244282,14.050214553727631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,43,42.539,42.539000000000016,35.14900000000001,30.036770795661198,94.77248804795286,1.536,1.5360000000000005,1.3096,1.1054454210238294,3.4667958426757695,3.156,3.156,2.0292000000000003,1.8347650990686435,6.364616504708826,21.168,21.167999999999996,18.979599999999998,16.00820322054949,48.88965040909133,0.861,0.8609999999999999,0.5778,0.5015367538447354,1.759472448,6.093,6.093000000000001,5.2938,4.4673122365467925,13.870246190364721,1.743,1.7430000000000005,1.5498000000000005,1.3073567567600666,4.01011721559815,7.982,7.982,5.4096,4.81262181541222,16.412128732236578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,44,42.539,42.53900000000002,38.84400000000001,32.81504395218093,99.40249282877173,1.536,1.5360000000000007,1.4228000000000003,1.2011242163518674,3.6160775056054617,3.156,3.156,2.5926,2.1283728548311673,6.974769902825296,21.168,21.168,20.0738,17.15482472709405,50.5017902454548,0.861,0.8610000000000001,0.7194,0.5814174752125719,1.9166834687999998,6.093,6.093000000000001,5.6934,4.8285761839808385,14.415147714218833,1.743,1.7430000000000005,1.6464000000000005,1.4041663663689408,4.14907032935889,7.982,7.982,6.6958,5.516928078653948,17.82927723934195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,45,10.243,31.77366666666669,36.07980000000001,27.799034185029612,69.88449569726303,0.844,1.3053333333333341,1.3976000000000004,1.1217632793847858,3.013646503363277,0.255,2.189,2.5758,1.7120677759797969,4.4398619416951774,2.834,15.056666666666665,17.5012,13.97241923218426,33.13507414727288,0.034,0.5853333333333334,0.6956,0.4597691473875559,1.1840100812799998,3.912,5.3660000000000005,5.6568,4.624892587540653,12.561088628531298,1.319,1.6016666666666672,1.6582000000000003,1.385240507175843,3.808442197615334,1.044,5.669333333333334,6.5943999999999985,4.522944061175293,11.74156634360517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,46,10.243,21.008333333333354,29.620600000000014,23.897693255023032,52.17369741835782,0.844,1.0746666666666675,1.2592000000000005,1.0600381061881667,2.652187902017966,0.255,1.222,1.9956000000000003,1.3882749368731753,2.918917165017106,2.834,8.945333333333332,13.834399999999999,11.497214958365534,22.715044488363727,0.034,0.3096666666666667,0.5302,0.3651537813014324,0.7444060487679999,3.912,4.639,5.220599999999999,4.466472012531619,11.448653177118779,1.319,1.4603333333333337,1.5734000000000006,1.3705203944701,3.6040653185692,1.044,3.356666666666668,5.2067999999999985,3.749845380914117,8.088939806163102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,47,10.243,10.243000000000018,23.16140000000001,20.863316976129028,41.54721845101469,0.844,0.8440000000000007,1.1208000000000005,1.0120296381463518,2.4353127412107796,0.255,0.2549999999999999,1.4154000000000004,1.1364360620124696,2.0063502990102635,2.834,2.8339999999999996,10.1676,9.572056078728748,16.463026693018236,0.034,0.03400000000000003,0.3647999999999999,0.2915640521233363,0.48064362926079995,3.912,3.9120000000000004,4.7844,4.343256009746814,10.781191906271268,1.319,1.3190000000000002,1.4886000000000006,1.359071417921189,3.48143919114152,1.044,1.0440000000000014,3.8191999999999986,3.148546407377647,5.897363883697862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
